Name,parking_id,latitude,longitude,WARD_NO,Url,final_point,grade
Car Parking,ChIJMatQn2gWrjsR7sExN3hnH_c,12.9856493,77.5960128,132,https://www.google.com/maps/place/?q=place_id:ChIJMatQn2gWrjsR7sExN3hnH_c,4601,7
Metro PARKING SERVICE,ChIJD30k-iIXrjsRuJfU3kb7-Fo,12.9770286,77.5773054,106,https://www.google.com/maps/place/?q=place_id:ChIJD30k-iIXrjsRuJfU3kb7-Fo,4603,7
Pay And Park,ChIJ2-RgIn4WrjsRicjPlkh2DIk,12.9719608,77.6072636,80,https://www.google.com/maps/place/?q=place_id:ChIJ2-RgIn4WrjsRicjPlkh2DIk,4605,7
BMSCE Basement Parking,ChIJHTWMUFwVrjsRSx2utkRfZv8,12.9408764,77.5651835,137,https://www.google.com/maps/place/?q=place_id:ChIJHTWMUFwVrjsRSx2utkRfZv8,4607,7
Parking here,ChIJC9drTesVrjsRxHwEPBJKslE,12.9439887,77.5799201,139,https://www.google.com/maps/place/?q=place_id:ChIJC9drTesVrjsRxHwEPBJKslE,4610,7
Safina Plaza Parking,ChIJwTgsrmIWrjsRxjIzJgPwVow,12.9796091,77.6071,14,https://www.google.com/maps/place/?q=place_id:ChIJwTgsrmIWrjsRxjIzJgPwVow,4613,7
24/7 Pay And park,ChIJaZ2ar5QVrjsRHidcDUNz1N0,12.9621863,77.5775654,79,https://www.google.com/maps/place/?q=place_id:ChIJaZ2ar5QVrjsRHidcDUNz1N0,4622,7
Car Parking,ChIJl5ZJtXUXrjsR8-CoB8adDw8,12.9746845,77.6078674,3,https://www.google.com/maps/place/?q=place_id:ChIJl5ZJtXUXrjsR8-CoB8adDw8,4623,7
Shree Bhuvaneswari Car Parking,ChIJxSfX6N8VrjsRiQdDpTphfkY,12.9657275,77.5861545,171,https://www.google.com/maps/place/?q=place_id:ChIJxSfX6N8VrjsRiQdDpTphfkY,4627,7
Malabar bay car parking,ChIJkZmAoicVrjsR0-MSd9vPZuE,12.9353867,77.6078437,146,https://www.google.com/maps/place/?q=place_id:ChIJkZmAoicVrjsR0-MSd9vPZuE,4628,7
Car parking,ChIJJcadfEQVrjsRrevf6Gwn-5w,12.9660694,77.5738578,126,https://www.google.com/maps/place/?q=place_id:ChIJJcadfEQVrjsRrevf6Gwn-5w,4628,7
BHive Car Parking,ChIJowVg36UVrjsRE0BMXxFpt2M,12.9007332,77.6502779,118,https://www.google.com/maps/place/?q=place_id:ChIJowVg36UVrjsRE0BMXxFpt2M,4632,7
Parking Lot,ChIJawylbtMXrjsRhw43wAmhlQw,13.0129735,77.5687129,193,https://www.google.com/maps/place/?q=place_id:ChIJawylbtMXrjsRhw43wAmhlQw,4632,7
Parking,ChIJOyTVQH4WrjsRdMoqz4k0xws,12.9716974,77.6062713,40,https://www.google.com/maps/place/?q=place_id:ChIJOyTVQH4WrjsRdMoqz4k0xws,4640,7
SDS TRC Staff Car Parking,ChIJuWBSxSUVrjsRebXPdugCwkI,12.9392187,77.5914604,91,https://www.google.com/maps/place/?q=place_id:ChIJuWBSxSUVrjsRebXPdugCwkI,4646,7
Hustlehib parking B4,ChIJ648V3W0VrjsRJy1q0Jcju2E,12.8994396,77.6500938,160,https://www.google.com/maps/place/?q=place_id:ChIJ648V3W0VrjsRJy1q0Jcju2E,4646,7
Shree Bhuvaneshwari Car Parking. SP road paid parking,ChIJu2yI6N8VrjsRCytnqiMxzew,12.9656637,77.5862436,197,https://www.google.com/maps/place/?q=place_id:ChIJu2yI6N8VrjsRCytnqiMxzew,4647,7
Aristo Parking,ChIJd5wtl5cUrjsRPd1fDKXQlFY,12.9036068,77.6410712,13,https://www.google.com/maps/place/?q=place_id:ChIJd5wtl5cUrjsRPd1fDKXQlFY,4648,7
Corporation Car Park,ChIJ3UFDSuYVrjsRK7wEKppOxc8,12.9567991,77.5817565,50,https://www.google.com/maps/place/?q=place_id:ChIJ3UFDSuYVrjsRK7wEKppOxc8,4649,7
Garage,ChIJsbPWsAsVrjsRojb-OMSJmCE,12.9182951,77.5887801,100,https://www.google.com/maps/place/?q=place_id:ChIJsbPWsAsVrjsRojb-OMSJmCE,4652,7
St. John's Paid Parking,ChIJv8Gwr2YVrjsRHk-1zca0eS4,12.928863,77.6182811,101,https://www.google.com/maps/place/?q=place_id:ChIJv8Gwr2YVrjsRHk-1zca0eS4,4653,7
Car Park,ChIJLYb7ceAVrjsRSArwzfIAxRU,12.964895,77.5841733,7,https://www.google.com/maps/place/?q=place_id:ChIJLYb7ceAVrjsRSArwzfIAxRU,4655,7
Vidhana Soudha cubbon parking,ChIJTdakEG0XrjsRuzWreuA70AA,12.977116,77.5891912,148,https://www.google.com/maps/place/?q=place_id:ChIJTdakEG0XrjsRuzWreuA70AA,4657,7
Brand Factory 2 Wheeler Parking,ChIJ2Qg15McVrjsRoD4_XZVYwFU,12.9455112,77.5959492,108,https://www.google.com/maps/place/?q=place_id:ChIJ2Qg15McVrjsRoD4_XZVYwFU,4658,7
Car and Bike Parking,ChIJE4gplA4WrjsRFHUCUIp1Fgk,12.973252,77.57803,131,https://www.google.com/maps/place/?q=place_id:ChIJE4gplA4WrjsRFHUCUIp1Fgk,4664,7
Christ College Parking Lot,ChIJS_uMd7IVrjsR1RkNAF5-5sI,12.9338496,77.6041737,167,https://www.google.com/maps/place/?q=place_id:ChIJS_uMd7IVrjsR1RkNAF5-5sI,4682,7
Car parking,ChIJ03e1b0UVrjsR1TzA1vkJAdE,12.9580538,77.5862199,170,https://www.google.com/maps/place/?q=place_id:ChIJ03e1b0UVrjsR1TzA1vkJAdE,4693,7
BBMP Parking Space,ChIJ_ai2SuYVrjsRYEPrdzFxh7E,12.9568355,77.5817825,158,https://www.google.com/maps/place/?q=place_id:ChIJ_ai2SuYVrjsRYEPrdzFxh7E,4699,7
SMH Parking,ChIJtyXap3cXrjsRDZBTa31C6Oo,12.9693373,77.5861354,138,https://www.google.com/maps/place/?q=place_id:ChIJtyXap3cXrjsRDZBTa31C6Oo,4837,8
HAL parking lot,ChIJuccM0rMWrjsRhgG0RP5Cn0c,12.9841697,77.6486061,89,https://www.google.com/maps/place/?q=place_id:ChIJuccM0rMWrjsRhgG0RP5Cn0c,5121,10
