Name,ID,Vicinity,latitude,longitude,Rating,Url
Shree Bhuvaneshwari Car Parking. SP road paid parking,ChIJu2yI6N8VrjsRCytnqiMxzew,"2, Dharmaraya Swamy Temple Rd, opposite pai vihar hotel, Halsurpete, Nagarathpete, Bengaluru",12.9656637,77.5862436,4,https://www.google.com/maps/place/?q=place_id:ChIJu2yI6N8VrjsRCytnqiMxzew
BHive Car Parking,ChIJowVg36UVrjsRE0BMXxFpt2M,"309/34/47, 27th Main Rd, ITI Layout, Sector 7, HSR Layout, Bengaluru",12.9007332,77.6502779,4,https://www.google.com/maps/place/?q=place_id:ChIJowVg36UVrjsRE0BMXxFpt2M
Car parking,ChIJJcadfEQVrjsRrevf6Gwn-5w,"67-1, Poorna Venkata Rao Rd, Old Tharagupet, Mamulpet, Chickpet, Bengaluru",12.9660694,77.5738578,3.8,https://www.google.com/maps/place/?q=place_id:ChIJJcadfEQVrjsRrevf6Gwn-5w
Kerbside Parking,ChIJTSrc0cAXrjsRge0gfGWoMlg,"712 , 6 th Cross, 5th Main Rd, HAL 3rd Stage, Puttappa layout, Jeevan Bima Nagar, Bengaluru",12.9712312,77.6507623,0,https://www.google.com/maps/place/?q=place_id:ChIJTSrc0cAXrjsRge0gfGWoMlg
Pay Car & Bike Parking Area,ChIJaxW0EvAVrjsRnW9xSsswAew,"XH3C+JQ9, Chikkanna Garden, Shankarapura, Pampa Mahakavi Road, Bengaluru",12.9540268,77.5719892,4.2,https://www.google.com/maps/place/?q=place_id:ChIJaxW0EvAVrjsRnW9xSsswAew
"Parking, More Mega Store",ChIJrR2aZicYrjsRmniuC_qrc6M,"2286, Kodigehalli Main Rd, Sahakar Nagar, Byatarayanapura, Bengaluru",13.0579537,77.5923,4.2,https://www.google.com/maps/place/?q=place_id:ChIJrR2aZicYrjsRmniuC_qrc6M
Parking Lot,ChIJYyGfktgXrjsRf3XX4jrdG6s,"2HG7+78R, NIAS-IISc Trail Rd, Devasandra Layout, Bengaluru",13.025749,77.5632754,0,https://www.google.com/maps/place/?q=place_id:ChIJYyGfktgXrjsRf3XX4jrdG6s
Pay And Park,ChIJ2-RgIn4WrjsRicjPlkh2DIk,"126, Residency Rd, Ashok Nagar, Bengaluru",12.9719608,77.6072636,2.9,https://www.google.com/maps/place/?q=place_id:ChIJ2-RgIn4WrjsRicjPlkh2DIk
Car Parking,ChIJMatQn2gWrjsR7sExN3hnH_c,"31, Cunningham Rd, Vasanth Nagar, Bengaluru",12.9856493,77.5960128,2.3,https://www.google.com/maps/place/?q=place_id:ChIJMatQn2gWrjsR7sExN3hnH_c
Malabar bay car parking,ChIJkZmAoicVrjsR0-MSd9vPZuE,"15, Hosur Main Road, Venkateshwara Layout, S.G. Palya, Bengaluru",12.9353867,77.6078437,4,https://www.google.com/maps/place/?q=place_id:ChIJkZmAoicVrjsR0-MSd9vPZuE
