Name,ID,Vicinity,latitude,longitude,Rating,Url
Hindustan Petroleum Corporation Limited,ChIJLd7qKKA9rjsRZJndR1AvgPs,"Sy No 42, 8Th Cross Pattegarpalya Rd, Vijaynagar, Kanakanagar, Bengaluru",12.9764699,77.522162,4.1,https://www.google.com/maps/place/?q=place_id:ChIJLd7qKKA9rjsRZJndR1AvgPs
Shreekara Fuel Station Indian Oil petrol station,ChIJy5Gd8oE_rjsRne2lJhMl5l0,"BSK 6th Stage 100 Ft Road Ganigarapalya Thalaghattapura post, Vajarahalli, Main Road, Ganigarapalya, Adarsha Layout, Bengaluru",12.8755956,77.5345075,4.2,https://www.google.com/maps/place/?q=place_id:ChIJy5Gd8oE_rjsRne2lJhMl5l0
Indo Autogas & Fuel Station,ChIJrWcm6sk9rjsRXax9ngwJj4g,"16, Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Magadi Main Road, Kamakshipalya",12.985092,77.523238,3.8,https://www.google.com/maps/place/?q=place_id:ChIJrWcm6sk9rjsRXax9ngwJj4g
Nikhil Filling Station,ChIJ2ZQGRPUXrjsRGPKVF4vIG2Q,"22, Mahatma Gandhi Rd, Craig Park Layout, Ashok Nagar, Bengaluru",12.9736257,77.6138383,3.3,https://www.google.com/maps/place/?q=place_id:ChIJ2ZQGRPUXrjsRGPKVF4vIG2Q
Auto LPG Gas Station,ChIJCyj0BkgUrjsRVvVNOoY5LwE,"WJW9+3HX, Koramangala 8th Block, Koramangala, Bengaluru",12.945247,77.6189983,3.8,https://www.google.com/maps/place/?q=place_id:ChIJCyj0BkgUrjsRVvVNOoY5LwE
Vijayashree Filling Station,ChIJN2dwf8UirjsRgFXmb2RYEM8,"Kammagondana Halli Main Rd, Kammagondahalli, Jalahalli, Bengaluru",13.0661148,77.5303584,3.5,https://www.google.com/maps/place/?q=place_id:ChIJN2dwf8UirjsRgFXmb2RYEM8
Uday Fuel station,ChIJ_5i5bc5BrjsRJqVtedrS1-o,"Unnamed Road, Bengaluru",12.8269596,77.5593322,4.4,https://www.google.com/maps/place/?q=place_id:ChIJ_5i5bc5BrjsRJqVtedrS1-o
JRB Fuel Junction,ChIJ6SEPcblrrjsRoL0XJyIu3Wk,"Jambusavari Dinne Main Rd, opp. Royal County Park, 8th Phase, Gottigere, Bengaluru",12.8616705,77.5804106,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ6SEPcblrrjsRoL0XJyIu3Wk
Sri Annapoorneshwari Fuel Station,ChIJn3zZJTcZrjsRetsSDLZezkY,"Akshaya Nagar, Attur Layout, Yelahanka New Town, Bengaluru",13.0977477,77.5637522,4.1,https://www.google.com/maps/place/?q=place_id:ChIJn3zZJTcZrjsRetsSDLZezkY
Vikhyaath Filling Station,ChIJIXuRsyoRrjsRGqFq__v6iQo,"3/4, Whitefield Main Rd, Thigalarapalya, Mahadevapura, Bengaluru",12.9907483,77.7220513,3.4,https://www.google.com/maps/place/?q=place_id:ChIJIXuRsyoRrjsRGqFq__v6iQo
Hindustan Petroleum Corporation Limited - Sompura Service Station,ChIJAWSDisByrjsRdgEDp9W1--A,"SH 35, Bangalore road, Kada Agrahara, Sarjapura, Bengaluru",12.8646158,77.7701949,4.2,https://www.google.com/maps/place/?q=place_id:ChIJAWSDisByrjsRdgEDp9W1--A
Uddi gas pump,ChIJPUr4a0YRrjsRfutdWqkG8zc,"40/C, ITPL Main Rd, KEB Colony, Industrial Area, Hoodi, Bengaluru",12.9924896,77.7126209,0,https://www.google.com/maps/place/?q=place_id:ChIJPUr4a0YRrjsRfutdWqkG8zc
IOC AUTO GAS & DIESEL STATION,ChIJse-ZH68XrjsRW59LlNdynw0,"2JC2+G6F, Adi Kabir Ashram Main Rd, Ganesha Block, Bangaragiri Layout, Devara Jeevanahalli, Bengaluru",13.0213098,77.6005541,4,https://www.google.com/maps/place/?q=place_id:ChIJse-ZH68XrjsRW59LlNdynw0
BPCL - Manjunatha Fuel station,ChIJZbuZN7A9rjsROlapCiBhvWs,"2/2, Ragavendra Nagar, Bengaluru",13.0095328,77.4830283,3.9,https://www.google.com/maps/place/?q=place_id:ChIJZbuZN7A9rjsROlapCiBhvWs
Panchamukhi Nayara Fuel Station,ChIJVblKdy8-rjsR5Vxh_xKi4nw,"WHJ3+5HJ, ITI Layout, Vivekananda Nagar, Banashankari, Bengaluru",12.9304696,77.5538701,4,https://www.google.com/maps/place/?q=place_id:ChIJVblKdy8-rjsR5Vxh_xKi4nw
Shree Shankar Fuel Station ( NAYARA ),ChIJv1FkGEB7rjsRKW9Tk-VfhOM,"MQX4+7CW, SH 87, Bengaluru",12.698218,77.7560783,4.5,https://www.google.com/maps/place/?q=place_id:ChIJv1FkGEB7rjsRKW9Tk-VfhOM
"s.v.m fuel station , petrol bunk",ChIJt6I3BLMTrjsRfLrebdMRqKY,"27, Marthahalli outer ring road, Kadubeesanahalli, Varthur Hobli, Prestige Tech Park, Bengaluru",12.9410958,77.6958901,4.2,https://www.google.com/maps/place/?q=place_id:ChIJt6I3BLMTrjsRfLrebdMRqKY
Hindustan Petroleum Corporation Limited,ChIJn5bWkswTrjsRFu5joyayCSQ,"No 45, 2, Varthur Rd, Marathahalli Village, Marathahalli, Bengaluru",12.95649,77.6975,3.8,https://www.google.com/maps/place/?q=place_id:ChIJn5bWkswTrjsRFu5joyayCSQ
Sri Maruthi Fuel Station,ChIJFUOBaFkFrjsRpuqQpzTej5o,"SH 35,Chokkahalli, Bengaluru",13.1135276,77.8167498,4.2,https://www.google.com/maps/place/?q=place_id:ChIJFUOBaFkFrjsRpuqQpzTej5o
MATHA FUEL STATION,ChIJM4vKVkMtrjsRSF4QquZZwIs,"47F2+8CH, Magadi",13.1233021,77.2511041,4.5,https://www.google.com/maps/place/?q=place_id:ChIJM4vKVkMtrjsRSF4QquZZwIs
GASPLUS Auto LPG station,ChIJW6-DTCIXrjsRsEywxhNTEH8,"2JHC+57C, Nagawara Main Rd, A/C Post, Kamraj Nagar, HBR Layout, Bengaluru",13.0279498,77.6206521,4.4,https://www.google.com/maps/place/?q=place_id:ChIJW6-DTCIXrjsRsEywxhNTEH8
Bharat Petroleum Reliable fuel station,ChIJn0LYQMQRrjsRrtAglmfCdpQ,"XMXF+HWR, Bangalore Corporation Industrial Estate, Mahadevapura, Bengaluru",12.999002,77.67482,3.8,https://www.google.com/maps/place/?q=place_id:ChIJn0LYQMQRrjsRrtAglmfCdpQ
Hindustan Petroleum Corporation Limited,ChIJEQtD9gwRrjsRcqgBh-sjP24,"No 3 & 4, ITPL Main Rd, Singayyanapalya, Mahadevapura, Bengaluru",12.997167,77.6918,3.8,https://www.google.com/maps/place/?q=place_id:ChIJEQtD9gwRrjsRcqgBh-sjP24
Indane Gas Station,ChIJ08zmkYYdrjsRdVj-Ymd_YmM,"6PR7+MFQ, BB Road Opp mini vidhanasouda Devanahalli town",13.2417155,77.7137306,4,https://www.google.com/maps/place/?q=place_id:ChIJ08zmkYYdrjsRdVj-Ymd_YmM
M/S Sri Tirumala Super Service,ChIJ55yiz0kQrjsRSJFJLjb1Ou0,"2PGC+GHW, Virgonagar Industrial Estate, Aavalahalli, Bengaluru",13.0263631,77.7214587,3.8,https://www.google.com/maps/place/?q=place_id:ChIJ55yiz0kQrjsRSJFJLjb1Ou0
SANAND fuel station,ChIJZRm6YEg9rjsRHKbx3ff44-0,"328, School Rd, Maheswari Nagar, Kempegowdanagar, Bengaluru",13.0454312,77.5087064,3.3,https://www.google.com/maps/place/?q=place_id:ChIJZRm6YEg9rjsRHKbx3ff44-0
Indian Oil Fuel Station,ChIJQVw4qOdyrjsRuSPu7heisRY,"VQ6J+6X8, Sarjapur - Marathahalli Rd, Sarjapura, Bengaluru",12.8605509,77.7824534,3.6,https://www.google.com/maps/place/?q=place_id:ChIJQVw4qOdyrjsRuSPu7heisRY
Indian Oil Petrol Bunk-Sree Shakthi Filling Station,ChIJNV4ohfo_rjsRon9ghB47ans,"NH 209, Navaratan Gardens, Konanakunte, Bengaluru",12.8838648,77.5508339,3.7,https://www.google.com/maps/place/?q=place_id:ChIJNV4ohfo_rjsRon9ghB47ans
BP Petrol Pump,ChIJY1cpUzIXrjsRsahMn5kxum8,"30, 5th A Cross Rd, HRBR Layout 3rd Block, HRBR Layout, Kalyan Nagar, Bengaluru",13.0262852,77.6351286,3.9,https://www.google.com/maps/place/?q=place_id:ChIJY1cpUzIXrjsRsahMn5kxum8
Harikrishna Fuel Station (Bharat Petroleum),ChIJ4x47vyYTrjsRJccmpOnprKM,"327, Balagere Rd, Devasthanagalu, Balagere, Varthur",12.9395961,77.7271832,4.1,https://www.google.com/maps/place/?q=place_id:ChIJ4x47vyYTrjsRJccmpOnprKM
Indian oil fuel station,ChIJxalv4hhrrjsR-mV6wwznGx4,"VH6J+M5F, Unnamed Road, Royal County, Royal County, 1st Phase, Gottigere, Bengaluru",12.8616783,77.5804113,4.7,https://www.google.com/maps/place/?q=place_id:ChIJxalv4hhrrjsR-mV6wwznGx4
TRT SERVICE STATION,ChIJfdi9LrkXrjsRyK_TYDyxqQs,"Sunrise Circle, No.24/1, 21, 5th Main Rd, Srirampura, Bengaluru",12.9868672,77.5680135,4.2,https://www.google.com/maps/place/?q=place_id:ChIJfdi9LrkXrjsRyK_TYDyxqQs
Indian Oil,ChIJb1hsjl4TrjsRrMoKvgpnQT0,"VMX5+J9C, Haralur Main Rd, Royal Placid Layout, PWD Quarters, 1st Sector, Haralur, Bengaluru",12.8990473,77.6584243,3.8,https://www.google.com/maps/place/?q=place_id:ChIJb1hsjl4TrjsRrMoKvgpnQT0
Bharat Petroleum Fuel Station Saklaspur Enterprises,ChIJIeTap0lsrjsRYYh1MF5Ipbg,"Bommasandra Industrial Area, Bommasandra",12.8166656,77.6915769,3.9,https://www.google.com/maps/place/?q=place_id:ChIJIeTap0lsrjsRYYh1MF5Ipbg
HP Fuel Station,ChIJFz1uUw0TrjsRErGCJAa8RtQ,"20, Nallurahalli Main Rd, Nallurhalli, Whitefield, Bengaluru",12.9652077,77.7332013,3.6,https://www.google.com/maps/place/?q=place_id:ChIJFz1uUw0TrjsRErGCJAa8RtQ
Hindustan Petroleum Corporation Limited,ChIJP20qSjg-rjsRabv0-aYyDM8,"2nd Phase, No 786, Dr Puneeth Rajkumar Rd, Hosakerehalli Layout, Banashankari 3rd Stage, Hosakerehalli, Bengaluru",12.9323163,77.5415255,3.8,https://www.google.com/maps/place/?q=place_id:ChIJP20qSjg-rjsRabv0-aYyDM8
GAIL Gas CNG Station,ChIJ06tFGzcZrjsRQsT_HhFdOIo,"sy no.15/5, Thirumenahalli, Agrahara Layout Main Rd, jakkur post, Yelahanka, Bengaluru",13.0918249,77.6359763,3.8,https://www.google.com/maps/place/?q=place_id:ChIJ06tFGzcZrjsRQsT_HhFdOIo
Sri Vidhathri Fuel Station Bharat Petroleum,ChIJ0wAEOix1rjsRS7qsnVnvsvM,Alasapalli,12.8491047,77.8993726,5,https://www.google.com/maps/place/?q=place_id:ChIJ0wAEOix1rjsRS7qsnVnvsvM
Go gas lpg fuel station,ChIJpXO81qs_rjsR3NzzgYbWRnM,"WG7C+W7R, BEML Layout, RR Nagar, Bengaluru",12.9148603,77.5206395,0,https://www.google.com/maps/place/?q=place_id:ChIJpXO81qs_rjsR3NzzgYbWRnM
