Name,parking_id,latitude,longitude,Apartments_nearby,charging_station_nearby,Food_court_nearby,Gas_station_nearby,Malls_nearby,WARD_NO,FREQ,Url,chg_den,min,rest,final_point
Car parking,ChIJJcadfEQVrjsRrevf6Gwn-5w,12.9660694,77.5738578,6,23,6,2,11,126,444,https://www.google.com/maps/place/?q=place_id:ChIJJcadfEQVrjsRrevf6Gwn-5w,0.051801802,4463,165,4628
Kerbside Parking,ChIJTSrc0cAXrjsRge0gfGWoMlg,12.9712312,77.6507623,4,5,6,0,6,120,444,https://www.google.com/maps/place/?q=place_id:ChIJTSrc0cAXrjsRge0gfGWoMlg,0.011261261,4445,100,4545
Pay Car & Bike Parking Area,ChIJaxW0EvAVrjsRnW9xSsswAew,12.9540268,77.5719892,4,15,6,4,9,85,443,https://www.google.com/maps/place/?q=place_id:ChIJaxW0EvAVrjsRnW9xSsswAew,0.033860045,4445,155,4600
"Parking, More Mega Store",ChIJrR2aZicYrjsRmniuC_qrc6M,13.0579537,77.5923,9,1,4,1,3,66,443,https://www.google.com/maps/place/?q=place_id:ChIJrR2aZicYrjsRmniuC_qrc6M,0.002257336,4431,135,4566
Parking Lot,ChIJYyGfktgXrjsRf3XX4jrdG6s,13.025749,77.5632754,3,16,3,1,4,156,443,https://www.google.com/maps/place/?q=place_id:ChIJYyGfktgXrjsRf3XX4jrdG6s,0.036117381,4446,75,4521
Pay And Park,ChIJ2-RgIn4WrjsRicjPlkh2DIk,12.9719608,77.6072636,6,15,5,2,11,80,443,https://www.google.com/maps/place/?q=place_id:ChIJ2-RgIn4WrjsRicjPlkh2DIk,0.033860045,4445,160,4605
Car Parking,ChIJMatQn2gWrjsR7sExN3hnH_c,12.9856493,77.5960128,4,16,6,3,11,132,443,https://www.google.com/maps/place/?q=place_id:ChIJMatQn2gWrjsR7sExN3hnH_c,0.036117381,4446,155,4601
Malabar bay car parking,ChIJkZmAoicVrjsR0-MSd9vPZuE,12.9353867,77.6078437,6,23,8,3,9,146,443,https://www.google.com/maps/place/?q=place_id:ChIJkZmAoicVrjsR0-MSd9vPZuE,0.051918736,4453,175,4628
St. John's Paid Parking,ChIJv8Gwr2YVrjsRHk-1zca0eS4,12.928863,77.6182811,7,18,13,3,8,101,443,https://www.google.com/maps/place/?q=place_id:ChIJv8Gwr2YVrjsRHk-1zca0eS4,0.040632054,4448,205,4653
Olive Tower Parking (Park West),ChIJ2xh_Akw_rjsRdly19fF_yVQ,12.9654449,77.5583468,4,26,5,3,7,82,443,https://www.google.com/maps/place/?q=place_id:ChIJ2xh_Akw_rjsRdly19fF_yVQ,0.058690745,4456,130,4586
Aristo Parking,ChIJd5wtl5cUrjsRPd1fDKXQlFY,12.9036068,77.6410712,12,3,10,3,5,13,442,https://www.google.com/maps/place/?q=place_id:ChIJd5wtl5cUrjsRPd1fDKXQlFY,0.00678733,4423,225,4648
Shree Bhuvaneswari Car Parking,ChIJxSfX6N8VrjsRiQdDpTphfkY,12.9657275,77.5861545,6,17,6,3,14,171,442,https://www.google.com/maps/place/?q=place_id:ChIJxSfX6N8VrjsRiQdDpTphfkY,0.038461538,4437,190,4627
S C L Car parking,ChIJXwg6Ltg9rjsRqpHCzcXfEOw,13.0104065,77.4961575,1,0,1,2,0,76,442,https://www.google.com/maps/place/?q=place_id:ChIJXwg6Ltg9rjsRqpHCzcXfEOw,0,4420,35,4455
Parking here,ChIJC9drTesVrjsRxHwEPBJKslE,12.9439887,77.5799201,6,20,5,4,9,139,442,https://www.google.com/maps/place/?q=place_id:ChIJC9drTesVrjsRxHwEPBJKslE,0.045248869,4440,170,4610
SDS TRC Staff Car Parking,ChIJuWBSxSUVrjsRebXPdugCwkI,12.9392187,77.5914604,8,26,5,4,11,91,442,https://www.google.com/maps/place/?q=place_id:ChIJuWBSxSUVrjsRebXPdugCwkI,0.058823529,4446,200,4646
Car Parking Place,ChIJzw60rRlrrjsRkobUaTBomLU,12.8139149,77.5767565,0,0,0,1,0,99,441,https://www.google.com/maps/place/?q=place_id:ChIJzw60rRlrrjsRkobUaTBomLU,0,4410,10,4420
SSR Visitor's Parking Lot 1,ChIJHTwT5DQTrjsRd1_vU1cIGnw,12.9693509,77.7389302,6,0,4,4,9,93,441,https://www.google.com/maps/place/?q=place_id:ChIJHTwT5DQTrjsRd1_vU1cIGnw,0,4410,165,4575
Zoom car parking (KA03NH8364),ChIJm6XE-fQTrjsRWeQYPb8Ay-A,12.9430025,77.6537634,4,7,4,1,6,41,441,https://www.google.com/maps/place/?q=place_id:ChIJm6XE-fQTrjsRWeQYPb8Ay-A,0.015873016,4417,100,4517
Brand Factory 2 Wheeler Parking,ChIJ2Qg15McVrjsRoD4_XZVYwFU,12.9455112,77.5959492,7,28,7,5,13,108,441,https://www.google.com/maps/place/?q=place_id:ChIJ2Qg15McVrjsRoD4_XZVYwFU,0.063492063,4438,220,4658
Metro PARKING SERVICE,ChIJD30k-iIXrjsRuJfU3kb7-Fo,12.9770286,77.5773054,5,23,5,3,13,106,441,https://www.google.com/maps/place/?q=place_id:ChIJD30k-iIXrjsRuJfU3kb7-Fo,0.052154195,4433,170,4603
Metro Station Parking Lot,ChIJz38K0mg-rjsRsMzxnHyaeLw,12.9466822,77.5290355,1,6,1,7,2,71,441,https://www.google.com/maps/place/?q=place_id:ChIJz38K0mg-rjsRsMzxnHyaeLw,0.013605442,4416,95,4511
Auto Rikshaw Parking,ChIJUzDLgVtsrjsRaHq2N8L3C4U,12.8274293,77.6824252,0,0,5,2,1,55,441,https://www.google.com/maps/place/?q=place_id:ChIJUzDLgVtsrjsRaHq2N8L3C4U,0,4410,50,4460
SLV Parking,ChIJcTILuzNsrjsR2yCZepZdyt4,12.8063703,77.6956769,0,0,1,1,0,196,441,https://www.google.com/maps/place/?q=place_id:ChIJcTILuzNsrjsR2yCZepZdyt4,0,4410,15,4425
Banashankari TTMC Parking,ChIJbdbJLHgVrjsRQQ-RK4NKt18,12.917206,77.573394,6,11,4,5,8,90,441,https://www.google.com/maps/place/?q=place_id:ChIJbdbJLHgVrjsRQQ-RK4NKt18,0.024943311,4421,170,4591
Shree Bhuvaneshwari Parking / OTC ROAD - Park+,ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,12.9678953,77.5790645,6,21,8,3,13,38,357,https://www.google.com/maps/place/?q=place_id:ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,0.058823529,3591,195,3786
Parking,ChIJzyKUCOIUrjsR2xK0L6tcdk8,12.90647,77.6080388,11,16,12,3,9,31,350,https://www.google.com/maps/place/?q=place_id:ChIJzyKUCOIUrjsR2xK0L6tcdk8,0.045714286,3516,245,3761
Pay & Park,ChIJSTf6oW8XrjsRw9rONZjVLFA,12.9825724,77.6096562,5,11,4,1,10,36,349,https://www.google.com/maps/place/?q=place_id:ChIJSTf6oW8XrjsRw9rONZjVLFA,0.031518625,3501,130,3631
IIITB Car Parking,ChIJlSeK6NJtrjsRveNm4V6kASw,12.8435696,77.6628059,2,0,5,1,1,65,347,https://www.google.com/maps/place/?q=place_id:ChIJlSeK6NJtrjsRveNm4V6kASw,0,3470,60,3530
PES Car Parking,ChIJHfqhck8_rjsRaQkGXLJMzFc,12.9348305,77.5344678,0,2,1,6,2,37,342,https://www.google.com/maps/place/?q=place_id:ChIJHfqhck8_rjsRaQkGXLJMzFc,0.005847953,3422,75,3497
Karnataka High Court Parking Ground,ChIJPwJ3rnQXrjsRUBA9QiOslvY,12.9792305,77.5939743,4,13,6,2,13,127,342,https://www.google.com/maps/place/?q=place_id:ChIJPwJ3rnQXrjsRUBA9QiOslvY,0.038011696,3433,155,3588
Parking Lot,ChIJbeqOUMEVrjsRm9YXc820njg,12.9495164,77.5899412,7,25,6,6,10,119,305,https://www.google.com/maps/place/?q=place_id:ChIJbeqOUMEVrjsRm9YXc820njg,0.081967213,3075,210,3285
Rezervd Smart Parking,ChIJLcMrT2EXrjsR8p_y13XhLIg,12.9973248,77.6007692,6,12,5,3,11,60,288,https://www.google.com/maps/place/?q=place_id:ChIJLcMrT2EXrjsR8p_y13XhLIg,0.041666667,2892,170,3062
Car Parking,ChIJ5cqvSGgWrjsRDhn6jJxwacA,12.988043,77.5941386,3,17,6,3,11,72,267,https://www.google.com/maps/place/?q=place_id:ChIJ5cqvSGgWrjsRDhn6jJxwacA,0.063670412,2687,145,2832
Baiyappanahalli Parking Backside,ChIJPRA7RfkXrjsRKvPCWRxh02o,12.9915352,77.6515927,6,4,3,1,7,63,201,https://www.google.com/maps/place/?q=place_id:ChIJPRA7RfkXrjsRKvPCWRxh02o,0.019900498,2014,120,2134
Open Parking,ChIJ9_M_dI8TrjsRluHBMwXf7Dg,12.9556625,77.7249398,9,0,2,5,11,107,376,https://www.google.com/maps/place/?q=place_id:ChIJ9_M_dI8TrjsRluHBMwXf7Dg,0,3760,205,3965
