Name,ID,Vicinity,latitude,longitude,Rating,Url,Grade
Pay And Park,ChIJ2-RgIn4WrjsRicjPlkh2DIk,"126, Residency Rd, Ashok Nagar, Bengaluru",12.9719608,77.6072636,2.9,https://www.google.com/maps/place/?q=place_id:ChIJ2-RgIn4WrjsRicjPlkh2DIk,4
24/7 Pay And park,ChIJaZ2ar5QVrjsRHidcDUNz1N0,"19-48, Kalasipalya Main Rd, Jayanagar, Kalasipalyam New Extension, Kalasipalya, Bengaluru",12.9621863,77.5775654,4,https://www.google.com/maps/place/?q=place_id:ChIJaZ2ar5QVrjsRHidcDUNz1N0,5
Shree Bhuvaneshwari Car Parking. SP road paid parking,ChIJu2yI6N8VrjsRCytnqiMxzew,"2, Dharmaraya Swamy Temple Rd, opposite pai vihar hotel, Halsurpete, Nagarathpete, Bengaluru",12.9656637,77.5862436,4,https://www.google.com/maps/place/?q=place_id:ChIJu2yI6N8VrjsRCytnqiMxzew,5
Olive Tower Parking (Park West),ChIJ2xh_Akw_rjsRdly19fF_yVQ,"3, 8th Cross Rd, Padarayanapura, Ranganatha Colony, Jagajeevanram Nagar, Bengaluru",12.9654449,77.5583468,0,https://www.google.com/maps/place/?q=place_id:ChIJ2xh_Akw_rjsRdly19fF_yVQ,5
Omkara Fuel Station - Nayara Energy,ChIJV2CDUgI-rjsRgpZbFLSVy9k,"(Old site No.10),4th Main, Site No.14, 9th Cross Rd, Azad Nagar, Bengaluru",12.9575984,77.5591493,4.1,https://www.google.com/maps/place/?q=place_id:ChIJV2CDUgI-rjsRgpZbFLSVy9k,5
Elegance Lalbagh View Apartment,ChIJ0QM2usAVrjsRgWG1bcFLKSU,"WHWQ+4VQ, Siddapura, Mavalli, Bengaluru",12.9453246,77.5897425,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ0QM2usAVrjsRgWG1bcFLKSU,6
Brand Factory 2 Wheeler Parking,ChIJ2Qg15McVrjsRoD4_XZVYwFU,"WHWW+57X, Hosur Main Road, Lakkasandra, Hombegowda Nagar, Bengaluru",12.9455112,77.5959492,3.5,https://www.google.com/maps/place/?q=place_id:ChIJ2Qg15McVrjsRoD4_XZVYwFU,6
SDS TRC Staff Car Parking,ChIJuWBSxSUVrjsRebXPdugCwkI,"WHQR+MHH, 1st Block, Jaya Nagar East, Hombegowda Nagar, Bengaluru",12.9392187,77.5914604,0,https://www.google.com/maps/place/?q=place_id:ChIJuWBSxSUVrjsRebXPdugCwkI,6
Bangalore Apartments,ChIJ7dDiKr0VrjsROrDuwjtgyV0,"#3, 21st Cross Road Opposite Swimming Pool, Jayanagar 3rd Block East, Jayanagar, Bengaluru",12.9331129,77.5876634,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ7dDiKr0VrjsROrDuwjtgyV0,6
Christ College Parking Lot,ChIJS_uMd7IVrjsR1RkNAF5-5sI,"WJM3+GMM, Bhavani Nagar, S.G. Palya, Bengaluru",12.9338496,77.6041737,5,https://www.google.com/maps/place/?q=place_id:ChIJS_uMd7IVrjsR1RkNAF5-5sI,7
St. John's Paid Parking,ChIJv8Gwr2YVrjsRHk-1zca0eS4,"WJH9+G8R, 1st Cross Rd, Santhosapuram, John Nagar, Koramangala, Bengaluru",12.928863,77.6182811,4.4,https://www.google.com/maps/place/?q=place_id:ChIJv8Gwr2YVrjsRHk-1zca0eS4,7
SUPERGAS Auto LPG Station - Sapthagiri Enterprises,ChIJq3NPE1YUrjsRRc7yY3L8wFc,"2/26, BEML Main Rd, Maruthi Nagar, 1st Stage, Madiwala, Bengaluru",12.9242855,77.6145204,4,https://www.google.com/maps/place/?q=place_id:ChIJq3NPE1YUrjsRRc7yY3L8wFc,7
Sampoorna Shopping Center,ChIJk7nUWuAXrjsRy_HXfFJjNE0,"16, 5th Cross Rd, Dollar Layout, Stage 2, BTM Layout, Bengaluru",12.9065361,77.603314,0,https://www.google.com/maps/place/?q=place_id:ChIJk7nUWuAXrjsRy_HXfFJjNE0,7
Pioneer Wood Winds Apartment,ChIJQTp3AdIUrjsR0X8crevPEMw,"3rd Cross, SBI Colony, Bannerghatta Main Rd, 4th Stage, BTM 2nd Stage, Devarachikkana Halli, Bengaluru",12.8917028,77.6165712,4.5,https://www.google.com/maps/place/?q=place_id:ChIJQTp3AdIUrjsR0X8crevPEMw,7
Aristo Parking,ChIJd5wtl5cUrjsRPd1fDKXQlFY,"75, 9th Cross Rd, ITI Layout, Sector 7, HSR Layout, Bengaluru",12.9036068,77.6410712,1,https://www.google.com/maps/place/?q=place_id:ChIJd5wtl5cUrjsRPd1fDKXQlFY,7
Indian Oil Fuel Station,ChIJQVw4qOdyrjsRuSPu7heisRY,"VQ6J+6X8, Sarjapur - Marathahalli Rd, Sarjapura, Bengaluru",12.8605509,77.7824534,3.6,https://www.google.com/maps/place/?q=place_id:ChIJQVw4qOdyrjsRuSPu7heisRY,7
Indian Oil Petrol Bunk-Sree Shakthi Filling Station,ChIJNV4ohfo_rjsRon9ghB47ans,"NH 209, Navaratan Gardens, Konanakunte, Bengaluru",12.8838648,77.5508339,3.7,https://www.google.com/maps/place/?q=place_id:ChIJNV4ohfo_rjsRon9ghB47ans,7
Vinyas Regency Apartment,ChIJeUONFb9qrjsR4zo2-CNmt4c,"VH5M+576, 15th Cross Rd, Pavamananagar, Pavaman Nagar, Gottigere, Bengaluru",12.8579407,77.5831473,5,https://www.google.com/maps/place/?q=place_id:ChIJeUONFb9qrjsR4zo2-CNmt4c,8
RR FUEL STATION,ChIJXzORwlE_rjsRVcLot3i6LFQ,"#458, Kenchenahalli, Ideal Homes Twp, RR Nagar, Bengaluru",12.9324889,77.5161326,4.3,https://www.google.com/maps/place/?q=place_id:ChIJXzORwlE_rjsRVcLot3i6LFQ,8
