Name,parking_id,latitude,longitude,Gas_station_nearby
Shree Bhuvaneshwari Parking / OTC ROAD - Park+,ChIJ3ZmkKNUXrjsRV3-D3Dug9_Y,12.9678953,77.5790645,3
Parking,ChIJzyKUCOIUrjsR2xK0L6tcdk8,12.90647,77.6080388,3
Pay & Park,ChIJSTf6oW8XrjsRw9rONZjVLFA,12.9825724,77.6096562,1
IIITB Car Parking,ChIJlSeK6NJtrjsRveNm4V6kASw,12.8435696,77.6628059,1
PES Car Parking,ChIJHfqhck8_rjsRaQkGXLJMzFc,12.9348305,77.5344678,6
Karnataka High Court Parking Ground,ChIJPwJ3rnQXrjsRUBA9QiOslvY,12.9792305,77.5939743,2
Parking Lot,ChIJbeqOUMEVrjsRm9YXc820njg,12.9495164,77.5899412,6
Rezervd Smart Parking,ChIJLcMrT2EXrjsR8p_y13XhLIg,12.9973248,77.6007692,3
Car Parking,ChIJ5cqvSGgWrjsRDhn6jJxwacA,12.988043,77.5941386,3
Baiyappanahalli Parking Backside,ChIJPRA7RfkXrjsRKvPCWRxh02o,12.9915352,77.6515927,1
Open Parking,ChIJ9_M_dI8TrjsRluHBMwXf7Dg,12.9556625,77.7249398,5
